SURVEY:  PS1MD
SNID:  2007on
otherID: 
IAUC:    UNKNOWN
RA:        54.71208  deg
DECL:       -35.575  deg
REDSHIFT_FINAL:  0.006186 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 54420.5
FILTERS:    YJH 
# keywords from LC processing:
# PSFTRIM: 
# PHOTCAT: 
# CNTRD_FLUX_OFFSET: 
# HOSTNAME:
# IMSIZE_PIX:
# DIST_FROM_CENTER_DEG:

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 155
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG
OBS: 54439.7 J NULL 237246 2621 14.062 0.012 0x00
OBS: 54439.7 J NULL 236591 3267 14.065 0.015 0x00
OBS: 54442.72 J NULL 169199 2337 14.429 0.015 0x00
OBS: 54442.729999999996 J NULL 167186 2309 14.442 0.015 0x00
OBS: 54444.79 J NULL 130376 1440 14.712 0.012 0x00
OBS: 54444.8 J NULL 128824 1304 14.725 0.011 0x00
OBS: 54446.69 J NULL 106856 1475 14.928 0.015 0x00
OBS: 54446.7 J NULL 107448 1583 14.922 0.016 0x00
OBS: 54448.67 J NULL 87821 1051 15.141 0.013 0x00
OBS: 54448.67 J NULL 87176 1123 15.149 0.014 0x00
OBS: 54454.66 J NULL 50909 703 15.733 0.015 0x00
OBS: 54454.67 J NULL 52966 1024 15.69 0.021 0x00
OBS: 54461.69 J NULL 29785 548 16.315 0.02 0x00
OBS: 54461.7 J NULL 30227 584 16.299 0.021 0x00
OBS: 54463.66 J NULL 26326 412 16.449 0.017 0x00
OBS: 54463.67 J NULL 25327 443 16.491 0.019 0x00
OBS: 54471.66 J NULL 16565 381 16.952 0.025 0x00
OBS: 54471.67 J NULL 14955 454 17.063 0.033 0x00
OBS: 54477.62 J NULL 10027 470 17.497 0.051 0x00
OBS: 54477.63 J NULL 9594 450 17.545 0.051 0x00
OBS: 54485.64 J NULL 6474 482 17.972 0.081 0x00
OBS: 54485.65 J NULL 6031 433 18.049 0.078 0x00
OBS: 54491.6 J NULL 5515 472 18.146 0.093 0x00
OBS: 54491.61 J NULL 4729 448 18.313 0.103 0x00
OBS: 54410.729999999996 H NULL 195343 3057 14.273 0.017 0x00
OBS: 54410.74 H NULL 197879 2915 14.259 0.016 0x00
OBS: 54412.729999999996 H NULL 318566 4106 13.742 0.014 0x00
